 ,Area,Mean,Min,Max,Feret,FeretX,FeretY,FeretAngle,MinFeret
69,0.975,93.448,26,175,1.708,401,968,163.610,1.197
70,1.096,102.763,44,157,2.076,397,1000,111.801,1.038
71,3.428,102.388,29,165,2.861,54,682,147.381,2.064
72,23.774,121.093,24,205,11.518,1662,259,134.661,4.802
73,38.889,137.101,24,205,19.530,1747,256,54.035,5.159
74,6.615,106.772,20,187,3.969,1374,28,119.055,3.086
75,8.491,122.696,22,192,4.415,1927,513,53.881,2.643
76,2.285,125.683,31,199,2.714,1606,144,73.496,1.379
77,0.780,84.714,29,177,2.024,1489,200,90.000,0.771
78,4.376,117.229,19,178,4.931,1509,668,94.485,1.639
79,2.350,114.976,36,188,2.631,1385,528,118.443,1.319
80,5.221,87.569,20,165,4.746,1258,331,150.832,1.391
